price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
67.900 kr.;2014;108000;2014-08-12;Benzin;22.2;82;M;2610
139.900 kr.;2017;58000;2018-01-09;Diesel;28.6;100;M;3400
199.900 kr.;2021;26000;2021-05-21;Benzin;22.8;100;M;2610
75.999 kr.;2013;169000;2012-11-20;Diesel;26.3;68;M;7100
204.900 kr.;2021;12000;2021-09-20;Benzin;22.8;100;M;2610
129.995 kr.;2018;44000;2018-09-25;Diesel;33.3;100;M;8700
64.900 kr.;2013;132000;2013-01-01;Diesel;26.3;92;M;2650
99.800 kr.;2017;80000;2017-02-22;Diesel;33.3;100;M;5700
114.995 kr.;2018;98000;2018-02-27;Diesel;33.3;100;M;8700
149.900 kr.;2019;56000;2019-08-22;Diesel;33.3;100;M;9100
154.600 kr.;2020;36000;2020-08-14;Benzin;26.8;75;M;8600
64.900 kr.;2014;72600;2014-03-31;Benzin;23.3;68;M;2830
114.900 kr.;2017;71000;2017-01-30;Diesel;33.3;100;M;4100
179.900 kr.;2022;13750;2022-04-26;Benzin;22.8;75;M;8240
114.900 kr.;2019;67000;2019-03-25;Benzin;23.4;82;M;8520
149.900 kr.;2019;42000;2019-10-29;Diesel;33.3;100;M;9100
94.800 kr.;2017;122000;2017-12-29;Diesel;33.3;100;M;4000
110.000 kr.;2016;95000;2016-03-30;Diesel;33.3;100;M;4243
209.900 kr.;2021;13000;2021-03-15;Benzin;22.8;100;M;2610
149.500 kr.;2019;37000;2019-01-03;Diesel;30.6;100;M;8700
149.900 kr.;2019;55000;2019-11-27;Diesel;33.3;100;M;9100
177.900 kr.;2020;56000;2020-02-28;Diesel;34.4;100;M;4600
109.400 kr.;2019;120000;2019-06-11;Diesel;30.6;100;M;4700
179.900 kr.;2020;72000;2020-11-06;Diesel;34.4;100;M;4200
149.900 kr.;2019;27000;2019-07-18;Benzin;23.4;82;M;9100
159.900 kr.;2019;51000;2019-10-22;Diesel;33.3;100;M;9100
84.900 kr.;2017;173000;2017-02-27;Diesel;33.3;100;M;4600
89.900 kr.;2016;117000;2016-07-22;Diesel;33.3;100;M;5500
184.900 kr.;2020;65000;2020-07-21;Diesel;34.4;100;M;9100
89.900 kr.;2016;129000;2016-05-20;Diesel;33.3;100;M;3650
119.900 kr.;2017;22000;2017-10-18;Benzin;23.3;82;M;2630
99.900 kr.;2018;107000;2018-04-10;Benzin;23.3;82;M;3520
147.900 kr.;2019;61000;2019-08-21;Diesel;33.3;100;M;9100
109.400 kr.;2017;79000;2017-03-06;Diesel;33.3;75;M;4700
89.900 kr.;2015;60000;2015-08-05;Benzin;22.2;82;M;4700
149.900 kr.;2019;41000;2019-09-25;Diesel;33.3;100;M;9100
129.900 kr.;2019;61000;2019-10-21;Diesel;30.6;100;M;7000
199.900 kr.;2021;10100;2021-03-31;Benzin;22.8;100;M;5683
209.900 kr.;2020;13000;2020-08-11;Benzin;26.2;100;M;9100
122.900 kr.;2018;53000;2018-10-18;Benzin;20.8;82;M;5683
99.900 kr.;2016;109000;2016-05-10;Diesel;33.3;100;M;4600
124.900 kr.;2019;39000;2019-02-19;Diesel;30.6;100;M;8653
99.900 kr.;2018;107000;2018-05-14;Diesel;33.3;100;M;4100
99.900 kr.;2018;105000;2018-06-22;Benzin;23.3;82;M;2605
159.900 kr.;2020;16000;2020-12-02;Benzin;26.8;75;M;2605
80.000 kr.;2017;82000;2017-08-21;Benzin;23.3;82;M;9310
129.900 kr.;2018;55000;2018-08-31;Diesel;33.3;100;M;6650
86.500 kr.;2018;170000;2018-02-01;Diesel;33.3;100;M;8680
99.900 kr.;2018;47000;2018-01-22;Benzin;23.3;82;M;9100
209.900 kr.;2020;16000;2020-12-16;Benzin;26.2;100;M;7100
114.800 kr.;2019;77000;2019-10-24;Diesel;33.3;100;M;7100
64.990 kr.;2012;104000;2012-08-27;Benzin;22.2;82;M;2880
184.900 kr.;2021;7000;2021-03-04;Benzin;22.8;75;M;5683
59.800 kr.;2012;62000;2013-06-24;Benzin;23.3;68;M;4600
94.980 kr.;2016;70000;2017-03-28;Diesel;33.3;100;M;2100
144.500 kr.;2019;68551;2019-07-22;Diesel;33.3;100;M;8700
199.900 kr.;2021;12500;2021-11-03;Benzin;22.8;100;M;2610
105.100 kr.;2018;67000;2019-01-29;Benzin;23.4;82;M;9000
147.900 kr.;2019;60000;2019-11-27;Diesel;33.3;100;M;5683
109.900 kr.;2017;87000;2017-07-27;Diesel;33.3;100;M;7160
114.900 kr.;2019;115000;2019-03-20;Diesel;30.6;100;M;4100
174.900 kr.;2020;36000;2020-10-26;Diesel;34.4;100;M;2605
99.900 kr.;2018;104000;2018-08-23;Diesel;33.3;100;M;4600
144.900 kr.;2020;79000;2020-01-01;Diesel;34.4;100;M;4700
134.900 kr.;2018;88000;2018-03-26;Diesel;33.3;100;M;9100
139.990 kr.;2018;55000;2018-12-04;Benzin;20.8;82;M;4700
189.900 kr.;2020;30000;2020-06-12;Benzin;26.2;100;M;9100
199.900 kr.;2020;55000;2020-09-10;Diesel;34.4;100;M;9100
149.900 kr.;2019;38000;2019-02-25;Benzin;24.4;110;M;8960
99.990 kr.;2016;112000;2016-10-20;Diesel;33.3;100;M;4700
79.900 kr.;2012;119000;2013-03-15;Benzin;22.2;82;M;4293
114.900 kr.;2018;72000;2018-01-17;Benzin;23.3;82;M;4700
147.900 kr.;2019;61000;2019-09-12;Diesel;33.3;100;M;9100
224.900 kr.;2020;9000;2020-11-10;Diesel;34.4;100;M;9100
144.900 kr.;2019;44000;2019-05-07;Benzin;22.2;82;M;9100
149.900 kr.;2019;45000;2019-10-31;Diesel;33.3;100;M;9100
149.900 kr.;2019;39000;2019-12-17;Diesel;33.3;100;M;9100
192.500 kr.;2020;22000;2020-06-15;Benzin;26.2;100;M;6000
224.900 kr.;2022;1500;2022-02-16;Benzin;22.8;100;M;8700
204.990 kr.;2020;38000;2020-07-30;Diesel;34.4;100;M;2630
149.500 kr.;2018;44000;2018-01-17;Diesel;33.3;100;M;8700
174.900 kr.;2020;45000;2020-03-20;Diesel;34.4;100;M;2605
154.900 kr.;2019;62000;2019-08-30;Diesel;33.3;100;M;9100
199.900 kr.;2021;12000;2021-11-17;Benzin;22.8;100;M;4600
179.900 kr.;2021;11000;2021-11-17;Benzin;22.8;75;M;4600
199.900 kr.;2021;8500;2021-10-14;Benzin;22.8;100;M;2610
104.800 kr.;2016;101000;2016-05-25;Diesel;33.3;100;M;9310
149.900 kr.;2019;44000;2019-10-28;Diesel;33.3;100;M;9100
99.900 kr.;2018;147000;2018-01-15;Diesel;33.3;100;M;4520
74.900 kr.;2012;99000;2012-07-24;Diesel;26.3;68;M;8963
129.900 kr.;2018;58000;2018-11-19;Diesel;29.7;100;M;2830
194.900 kr.;2021;15000;2021-10-28;Benzin;22.8;100;M;4600
189.900 kr.;2021;17000;2021-06-18;Diesel;29.5;100;M;4600
84.900 kr.;2016;116000;2016-08-26;Diesel;33.3;100;M;8700
104.900 kr.;2017;99000;2017-03-22;Diesel;33.3;100;M;8950
214.900 kr.;2021;6000;2021-12-16;Benzin;22.8;100;M;2800
190.000 kr.;2021;32000;2021-01-21;Benzin;22.8;100;M;8960
184.900 kr.;2020;29000;2020-04-07;Benzin;26.2;100;M;4600
109.900 kr.;2017;43000;2017-03-30;Benzin;23.3;82;M;4700
69.900 kr.;2015;129000;2015-08-24;Benzin;22.2;82;M;4200
154.900 kr.;2019;22000;2019-10-07;Diesel;33.3;100;M;9100
187.500 kr.;2020;24000;2020-06-10;Diesel;34.4;100;M;8700
97.990 kr.;2018;153000;2018-01-22;Diesel;33.3;100;M;4700
194.900 kr.;2020;20000;2020-07-31;Benzin;26.2;100;M;2100
164.500 kr.;2020;32000;2020-01-27;Diesel;33.3;100;M;9500
107.500 kr.;2019;140000;2019-08-28;Diesel;30.6;100;M;8361
144.900 kr.;2019;58000;2019-09-12;Diesel;33.3;100;M;2630
138.900 kr.;2019;31500;2019-12-09;Benzin;23.4;82;M;8940
104.900 kr.;2018;92000;2018-01-05;Diesel;33.3;100;M;8600
169.900 kr.;2020;51000;2020-09-02;Diesel;34.4;100;M;7000
134.900 kr.;2018;35000;2018-08-22;Diesel;33.3;100;M;4700
