price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
109.800 kr.;2019;17950;2019-06-26;Benzin;26.2;60;M;4600
104.900 kr.;2019;62000;2018-10-02;Benzin;26.2;60;M;5200
69.900 kr.;2016;96000;2016-03-23;Benzin;24.4;60;M;7120
122.900 kr.;2019;35000;2019-02-01;Benzin;26.2;60;M;8700
84.900 kr.;2016;88000;2016-07-25;Benzin;24.4;60;M;2635
104.900 kr.;2018;39000;2018-03-27;Benzin;24.4;60;M;7000
59.900 kr.;2013;127000;2013-03-27;Benzin;23.8;75;M;5750
67.500 kr.;2015;74693;2015-01-09;Benzin;24.4;60;M;8240
54.990 kr.;2013;131000;2012-12-07;Benzin;23.8;75;M;2880
84.900 kr.;2017;51000;2017-01-18;Benzin;24.4;60;M;8930
99.900 kr.;2014;64000;2013-12-04;Benzin;22.7;60;A;3400
52.900 kr.;2013;104000;2012-10-03;Benzin;22.2;60;M;3650
74.900 kr.;2016;98000;2016-05-26;Benzin;24.4;60;M;2605
69.900 kr.;2016;93000;2016-09-16;Benzin;24.4;60;M;7000
94.900 kr.;2018;55000;2018-01-26;Benzin;24.4;60;M;6000
64.900 kr.;2014;104000;2013-11-04;Benzin;24.4;60;M;3520
75.000 kr.;2017;122000;2017-04-19;Benzin;24.4;60;M;4243
110.000 kr.;2019;54000;2019-06-06;Benzin;26.2;60;M;4621
69.900 kr.;2017;128000;2017-01-23;Benzin;24.4;60;M;3520
89.900 kr.;2017;75000;2017-01-17;Benzin;24.4;60;M;5200
84.900 kr.;2017;95000;2016-12-01;Benzin;24.4;60;M;5200
57.995 kr.;2016;127000;2015-10-20;Benzin;24.4;60;M;4600
69.900 kr.;2016;93500;2016-09-19;Benzin;24.4;60;M;6200
54.900 kr.;2013;178000;2013-02-20;Benzin;24.4;60;M;8700
48.000 kr.;2015;163000;2013-06-24;Benzin;24.4;60;M;6000
69.900 kr.;2016;116000;2016-04-01;Benzin;24.4;60;M;6710
44.900 kr.;2013;149000;2012-08-14;Benzin;24.4;60;M;6650
100.000 kr.;2019;84000;2019-03-04;Benzin;26.2;60;M;4621
114.900 kr.;2019;30000;2019-06-12;Benzin;26.2;60;M;8240
84.900 kr.;2019;137000;2018-08-30;Benzin;26.2;60;M;6000
64.800 kr.;2014;98000;2014-10-22;Benzin;24.4;60;M;4700
109.900 kr.;2018;21000;2018-01-24;Benzin;24.4;60;M;3400
114.900 kr.;2019;51000;2019-04-10;Benzin;26.2;60;M;2800
119.900 kr.;2019;29000;2019-05-28;Benzin;26.2;60;M;3000
94.900 kr.;2018;72000;2017-08-23;Benzin;24.4;60;M;3400
74.900 kr.;2019;112699;2018-10-30;Benzin;26.2;60;M;5900
99.900 kr.;2018;73000;2018-01-18;Benzin;24.4;60;M;5200
60.400 kr.;2013;133000;2012-10-22;Benzin;24.4;60;M;8700
89.900 kr.;2017;12800;2017-09-28;Benzin;24.4;60;M;5210
124.900 kr.;2019;38000;2019-06-12;Benzin;26.2;60;M;4700
99.000 kr.;2018;25000;2018-06-21;Benzin;24.4;60;M;3650
132.900 kr.;2019;22000;2019-08-26;Benzin;23.8;75;A;9640
119.800 kr.;2019;22000;2019-06-27;Benzin;26.2;60;M;7000
99.700 kr.;2017;54000;2017-04-11;Benzin;24.4;60;M;8600
99.900 kr.;2019;44500;2019-11-07;Benzin;26.2;60;M;8600
99.900 kr.;2019;44600;2019-05-14;Benzin;26.2;60;M;8600
99.800 kr.;2018;35000;2017-09-08;Benzin;24.4;60;M;4000
44.000 kr.;2014;173000;2014-10-01;Benzin;24.4;60;M;4771
46.000 kr.;2015;236000;2014-11-01;Benzin;24.4;60;M;7080
85.000 kr.;2017;63000;2017-03-23;Benzin;24.4;60;M;4243
109.900 kr.;2019;39000;2019-05-15;Benzin;26.2;60;M;6000
79.990 kr.;2014;129000;2013-09-16;Benzin;22.7;60;A;6520
74.900 kr.;2017;75000;2016-11-15;Benzin;24.4;60;M;4600
99.900 kr.;2017;62000;2017-02-16;Benzin;24.4;60;M;5592
67.900 kr.;2015;50000;2015-01-01;Benzin;24.4;60;M;9900
68.980 kr.;2017;102000;2017-02-03;Benzin;24.4;60;M;8600
89.900 kr.;2017;49000;2017-04-10;Benzin;24.4;60;M;2770
89.900 kr.;2017;99000;2017-03-14;Benzin;24.4;60;M;7000
79.900 kr.;2016;93000;2016-07-19;Benzin;24.4;60;M;7400
91.900 kr.;2018;83000;2017-09-29;Benzin;24.4;60;M;2605
99.900 kr.;2018;65000;2017-09-28;Benzin;24.4;60;M;8240
105.789 kr.;2019;39000;2019-01-14;Benzin;26.2;60;M;6740
99.900 kr.;2019;39000;2019-01-31;Benzin;26.2;60;M;8600
94.900 kr.;2019;43000;2018-12-05;Benzin;26.2;60;M;6430
99.900 kr.;2018;52000;2017-10-01;Benzin;24.4;60;M;8240
64.900 kr.;2013;105000;2013-06-07;Benzin;24.4;60;M;4760
49.900 kr.;2015;242000;2014-12-18;Benzin;24.4;60;M;5500
139.900 kr.;2016;8000;2016-09-22;Benzin;22.2;75;A;9640
38.000 kr.;2013;138000;2013-05-01;Benzin;22.2;60;M;4300
82.990 kr.;2013;54000;2012-12-03;Benzin;22.7;60;A;2880
59.900 kr.;2014;88000;2014-06-04;Benzin;24.4;60;M;4600
