price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
359.600 kr.;2022;12000;2022-03-14;El;74.1;283;A;3300
339.998 kr.;2020;93000;2019-03-04;El;75.1;498;A;2630
428.800 kr.;2021;29500;2021-08-31;El;66.9;513;A;2670
399.900 kr.;2021;20500;2021-03-19;El;66.9;513;A;2610
434.500 kr.;2021;17681;2021-09-27;El;75.1;498;A;2670
317.900 kr.;2019;64000;2019-03-25;El;69;462;A;2860
438.783 kr.;2021;28000;2021-03-12;El;66.9;513;A;6740
339.989 kr.;2021;15000;2021-03-23;El;77.8;325;A;6740
389.800 kr.;2020;30000;2021-04-14;El;66.5;490;A;8260
429.800 kr.;2021;18000;2021-12-10;El;66.9;513;A;6400
444.898 kr.;2022;8000;2022-03-15;El;75.1;498;A;6740
409.900 kr.;2021;20000;2021-12-07;El;75.1;498;A;3540
284.800 kr.;2019;73000;2019-06-28;El;74.1;283;A;8660
324.900 kr.;2020;32000;2020-09-07;El;74.1;283;A;2610
424.800 kr.;2021;35340;2021-12-01;El;75.1;498;A;4200
448.900 kr.;2022;14000;2022-03-21;El;66.9;513;A;8653
369.700 kr.;2020;63000;2020-09-08;El;66.5;513;A;8700
324.900 kr.;2020;61000;2020-02-27;El;74.1;325;A;2610
418.795 kr.;2021;10900;2021-12-09;El;75.1;498;A;8381
384.890 kr.;2021;30000;2021-09-24;El;75.1;498;A;2770
364.800 kr.;2022;5900;2022-03-29;El;74.1;283;A;8981
419.989 kr.;2021;22500;2021-06-14;El;75.1;498;A;6740
428.797 kr.;2021;25000;2021-12-21;El;75.1;498;A;6740
394.800 kr.;2020;25000;2020-08-14;El;75.1;498;A;7200
364.700 kr.;2022;10000;2022-03-04;El;74.1;283;A;8700
409.900 kr.;2021;14000;2021-09-24;El;75.1;498;A;1250
419.989 kr.;2021;7500;2021-12-01;El;75.1;498;A;6740
459.800 kr.;2021;7500;2021-11-30;El;75.1;498;A;9900
449.900 kr.;2021;15000;2021-04-29;El;75.1;498;A;7200
416.000 kr.;2021;13080;2021-09-29;El;75.1;498;A;9000
349.900 kr.;2021;18000;2021-12-21;El;77.8;325;A;2860
379.800 kr.;2020;23000;2019-09-28;El;66.5;513;A;7700
359.900 kr.;2021;18000;2021-06-17;El;77.8;325;A;4700
369.900 kr.;2021;9000;2021-09-21;El;77.8;325;A;7800
359.900 kr.;2019;49500;2019-02-20;El;66.5;483;A;5250
399.000 kr.;2021;16000;2021-06-22;El;75.1;498;A;8700
429.000 kr.;2021;27400;2021-09-01;El;75.1;441;A;9500
388.900 kr.;2020;47000;2020-09-28;El;66.5;513;A;4300
328.800 kr.;2021;16353;2021-09-10;El;77.8;325;A;2670
379.800 kr.;2020;86000;2020-03-21;El;69;491;A;4200
359.900 kr.;2021;14000;2021-06-01;El;77.8;325;A;8680
419.900 kr.;2021;29000;2021-09-16;El;66.9;513;A;7200
419.800 kr.;2022;9000;2021-11-15;El;75.1;498;A;6740
324.800 kr.;2019;98000;2019-06-05;El;74.1;306;A;8766
444.900 kr.;2022;12035;2022-02-24;El;66.9;513;A;4000
384.890 kr.;2021;20200;2021-08-02;El;75.1;495;A;2770
435.543 kr.;2021;12000;2021-12-15;El;75.1;498;A;6740
339.900 kr.;2021;29000;2021-02-17;El;77.8;325;A;2770
428.900 kr.;2022;11000;2022-03-02;El;75.1;498;A;8653
339.890 kr.;2021;25000;2021-12-13;El;77.8;325;A;2770
309.800 kr.;2020;35000;2020-09-17;El;74.1;283;A;5210
319.900 kr.;2021;30000;2021-06-28;El;77.8;325;A;7000
477.000 kr.;2022;10000;2022-02-21;El;66.9;513;A;7000
309.800 kr.;2019;95000;2019-02-14;El;69;462;A;7500
408.600 kr.;2021;51000;2021-03-05;El;75.1;495;A;8210
358.800 kr.;2021;71300;2021-02-23;El;75.1;498;A;2670
384.700 kr.;2022;29000;2021-12-01;El;75.1;498;A;7000
339.900 kr.;2021;27000;2021-05-20;El;77.8;325;A;6650
379.900 kr.;2022;12000;2022-03-17;El;74.1;283;A;6800
384.800 kr.;2020;61000;2020-08-25;El;69;491;A;4000
359.900 kr.;2022;15000;2022-02-23;El;74.1;283;A;9280
339.890 kr.;2021;21700;2021-12-01;El;77.8;325;A;2770
389.800 kr.;2021;43000;2021-09-21;El;75.1;498;A;8200
349.800 kr.;2019;46000;2019-02-25;El;69;462;A;2750
338.900 kr.;2021;47000;2021-03-26;El;77.8;283;A;8210
419.000 kr.;2020;26000;2020-03-30;El;66.5;513;A;8600
349.900 kr.;2020;44000;2020-03-16;El;74.1;325;A;7160
369.800 kr.;2022;12000;2022-02-07;El;76.7;325;A;6400
364.900 kr.;2022;9000;2022-03-23;El;74.1;283;A;9280
359.000 kr.;2020;34000;2020-04-01;El;69;442;A;9500
399.980 kr.;2021;18000;2021-10-04;El;75.1;498;A;4200
348.980 kr.;2021;13000;2021-06-10;El;77.8;325;A;4200
429.900 kr.;2021;30000;2021-09-27;El;75.1;495;A;7200
359.900 kr.;2022;13000;2022-03-17;El;74.1;283;A;9280
374.900 kr.;2019;96000;2019-12-03;El;66.5;490;A;7000
379.900 kr.;2019;80000;2019-09-11;El;69;476;A;2630
329.700 kr.;2021;17000;2021-03-18;El;77.8;325;A;4700
349.500 kr.;2022;13000;2022-02-10;El;76.7;325;A;4700
349.800 kr.;2021;24000;2021-10-26;El;77.8;325;A;4700
389.900 kr.;2020;19000;2020-06-25;El;66.5;513;A;8660
424.900 kr.;2021;17000;2021-06-08;El;75.1;498;A;8653
409.900 kr.;2021;9500;2021-09-14;El;75.1;498;A;8600
380.000 kr.;2021;28000;2020-11-23;El;75.1;498;A;2610
439.800 kr.;2022;12450;2022-02-24;El;66.9;513;A;4000
414.000 kr.;2021;22000;2021-06-23;El;66.9;513;A;9700
389.900 kr.;2020;63000;2019-12-05;El;66.5;513;A;5210
439.900 kr.;2022;10000;2022-02-22;El;75.1;498;A;8653
399.900 kr.;2020;23000;2019-06-27;El;66.5;513;A;5750
348.700 kr.;2022;15387;2022-02-08;El;76.7;325;A;4000
322.900 kr.;2021;21726;2021-11-16;El;77.8;283;A;4000
364.900 kr.;2022;14000;2022-02-11;El;74.1;283;A;9280
334.900 kr.;2021;14801;2021-06-11;El;77.8;283;A;4000
339.900 kr.;2022;19000;2022-03-28;El;74.1;283;A;9280
394.800 kr.;2020;29000;2020-09-23;El;66.5;513;A;8766
439.900 kr.;2021;29575;2021-08-30;El;66.9;513;A;4000
399.500 kr.;2021;78000;2020-12-04;El;75.1;498;A;6261
349.900 kr.;2020;32000;2020-03-21;El;69;491;A;2605
359.900 kr.;2022;14000;2022-02-22;El;74.1;283;A;9280
365.000 kr.;2021;21000;2021-05-20;El;77.8;283;A;6230
339.900 kr.;2021;20000;2021-12-15;El;77.8;325;A;1250
384.800 kr.;2021;30442;2021-11-29;El;75.1;495;A;4000
374.800 kr.;2022;9000;2022-02-23;El;74.1;283;A;6760
412.200 kr.;2021;56700;2021-06-24;El;66.9;513;A;2670
349.800 kr.;2021;28000;2021-10-27;El;77.8;325;A;8620
409.900 kr.;2021;9000;2021-11-03;El;75.1;498;A;3460
355.000 kr.;2022;8000;2022-03-14;El;76.7;325;A;6400
415.000 kr.;2021;18000;2021-05-12;El;75.1;498;A;6400
384.800 kr.;2022;9000;2022-03-03;El;74.1;283;A;6760
489.990 kr.;2021;14000;2021-07-15;El;75.1;476;A;2630
434.900 kr.;2021;14000;2021-12-17;El;66.9;513;A;6800
324.900 kr.;2021;42000;2021-03-18;El;77.8;325;A;8600
430.000 kr.;2021;13000;2021-01-16;El;75.1;498;A;2610
419.900 kr.;2019;14000;2019-10-15;El;66.5;490;A;2750
359.900 kr.;2021;7000;2021-12-15;El;77.8;325;A;4000
454.000 kr.;2022;0;2022-10-05;El;74.1;283;A;2630
369.800 kr.;2019;73000;2019-05-24;El;74.1;306;A;4700
430.000 kr.;2021;11000;2021-08-21;El;75.1;498;A;2610
375.000 kr.;2020;32000;2020-03-02;El;69;491;A;2610
429.995 kr.;2021;18500;2021-11-16;El;66.9;513;A;2750
439.900 kr.;2021;25000;2021-06-11;El;75.1;441;A;9400
418.800 kr.;2022;19900;2021-12-01;El;75.1;498;A;2670
274.900 kr.;2019;83000;2019-09-17;El;74.1;306;A;8450
359.900 kr.;2022;19000;2022-02-25;El;74.1;283;A;9280
369.700 kr.;2021;23150;2021-09-09;El;77.8;325;A;9000
328.900 kr.;2021;26000;2021-05-19;El;77.8;325;A;8250
420.000 kr.;2021;36000;2021-05-04;El;75.1;498;A;2610
349.800 kr.;2021;4700;2021-12-27;El;77.8;325;A;9900
409.800 kr.;2021;17000;2021-09-22;El;75.1;498;A;6400
419.900 kr.;2021;8000;2021-11-18;El;75.1;498;A;5250
459.800 kr.;2021;9300;2021-11-18;El;75.1;498;A;9900
449.900 kr.;2022;15000;2022-03-21;El;66.9;513;A;6800
354.800 kr.;2022;13000;2022-03-01;El;74.1;283;A;9400
