price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
575.000 kr.;2022;22000;2021-08-28;El;65.3;514;A;5750
499.000 kr.;2021;21000;2021-08-20;El;65.3;514;A;9500
549.900 kr.;2022;17000;2022-03-15;El;65.3;514;A;9440
579.900 kr.;2022;25000;2021-12-10;El;65.3;514;A;2970
504.900 kr.;2022;9000;2022-03-23;El;65.3;514;A;2100
549.800 kr.;2021;10433;2022-03-16;El;65.3;514;A;4200
649.900 kr.;2022;14900;2022-04-20;El;64.6;534;A;8260
617.400 kr.;2022;0;2022-10-11;El;65.3;514;A;8260
528.900 kr.;2022;2000;2022-09-10;El;65.3;514;A;4000
519.900 kr.;2021;18000;2021-11-04;El;65.3;514;A;8600
499.700 kr.;2021;19000;2021-09-20;El;65.3;514;A;4700
464.995 kr.;2021;33500;2021-09-20;El;65.3;514;A;2765
589.900 kr.;2022;11000;2022-04-07;El;64.6;534;A;6800
495.000 kr.;2022;7400;2022-02-24;El;65.3;384;A;9000
489.800 kr.;2022;18000;2022-02-10;El;65.3;514;A;6400
539.900 kr.;2022;9000;2022-03-10;El;65.3;514;A;9440
539.900 kr.;2022;8000;2022-02-10;El;65.3;514;A;9440
539.900 kr.;2022;11000;2022-03-10;El;65.3;514;A;9440
509.900 kr.;2022;8000;2022-02-14;El;65.3;514;A;2620
569.900 kr.;2022;9000;2022-03-01;El;65.3;514;A;8260
519.900 kr.;2021;20000;2021-12-23;El;65.3;514;A;4000
499.800 kr.;2022;6000;2022-08-19;El;65.3;514;A;7200
514.900 kr.;2022;6000;2022-08-26;El;65.3;514;A;7200
495.000 kr.;2022;17200;2022-03-03;El;65.3;384;A;9000
530.000 kr.;2021;18600;2021-11-04;El;65.3;441;A;2670
480.000 kr.;2022;12000;2022-03-01;El;62.5;514;A;2610
539.900 kr.;2021;10000;2021-09-08;El;65.3;514;A;8600
495.000 kr.;2022;16000;2022-03-08;El;62.5;514;A;6400
519.900 kr.;2022;6000;2022-02-21;El;65.3;384;A;8920
529.800 kr.;2022;6000;2022-08-22;El;65.3;514;A;7200
528.800 kr.;2021;2801;2021-12-03;El;65.3;514;A;2670
499.900 kr.;2022;6000;2022-02-01;El;65.3;514;A;6800
549.800 kr.;2022;7000;2022-02-07;El;65.3;514;A;9440
509.900 kr.;2022;5900;2022-04-08;El;62.5;514;A;6800
544.800 kr.;2021;12000;2021-09-08;El;65.3;514;A;9440
599.900 kr.;2022;10000;2022-03-25;El;64.6;534;A;6800
517.700 kr.;2022;7000;2022-03-02;El;65.3;514;A;7200
509.900 kr.;2022;6000;2022-03-11;El;65.3;514;A;7400
539.800 kr.;2021;22000;2021-09-09;El;65.3;514;A;9440
539.800 kr.;2021;11000;2021-11-04;El;65.3;514;A;9440
499.900 kr.;2022;5900;2022-03-03;El;65.3;514;A;6800
499.900 kr.;2022;6000;2022-03-01;El;65.3;514;A;6800
499.900 kr.;2021;13000;2021-12-08;El;65.3;514;A;5250
599.900 kr.;2022;18200;2022-04-05;El;64.6;534;A;6800
619.900 kr.;2022;300;2022-09-28;El;64.6;534;A;2730
459.900 kr.;2021;32000;2021-12-08;El;65.3;384;A;2610
469.900 kr.;2021;33000;2021-09-20;El;65.3;514;A;8250
599.800 kr.;2022;55;2022-09-22;El;62.5;514;A;6710
549.900 kr.;2022;48;2022-09-19;El;62.5;514;A;6710
499.900 kr.;2021;13000;2021-11-12;El;65.3;514;A;8600
479.600 kr.;2021;29000;2021-11-30;El;65.3;514;A;8210
539.800 kr.;2022;12000;2022-03-08;El;65.3;514;A;6670
519.900 kr.;2021;22000;2021-08-27;El;65.3;514;A;6800
495.000 kr.;2022;10760;2022-02-17;El;65.3;384;A;9000
519.900 kr.;2021;33000;2021-09-21;El;65.3;514;A;4600
499.800 kr.;2022;14000;2022-03-22;El;65.3;514;A;6400
550.000 kr.;2021;45000;2021-08-27;El;65.3;514;A;9200
499.900 kr.;2021;11000;2021-11-12;El;65.3;514;A;8600
509.900 kr.;2022;15000;2022-02-17;El;65.3;384;A;8920
549.900 kr.;2022;6000;2022-04-01;El;65.3;514;A;8260
479.800 kr.;2021;14000;2021-08-19;El;65.3;514;A;8620
549.900 kr.;2022;0;2022-08-25;El;65.3;514;A;8381
509.900 kr.;2022;15000;2022-02-01;El;65.3;514;A;4200
499.900 kr.;2021;6000;2021-11-02;El;65.3;384;A;2610
519.900 kr.;2021;18000;2021-09-22;El;65.3;514;A;7200
514.900 kr.;2022;6000;2022-06-09;El;65.3;514;A;7200
528.900 kr.;2022;2000;2022-09-14;El;65.3;514;A;4000
498.500 kr.;2022;13000;2022-02-15;El;65.3;514;A;6800
579.800 kr.;2022;8000;2022-06-22;El;64.6;534;A;6760
539.900 kr.;2022;2000;2022-09-29;El;65.3;384;A;8600
529.900 kr.;2022;2000;2022-09-28;El;65.3;384;A;8600
539.900 kr.;2022;2000;2022-09-29;El;65.3;384;A;8600
539.900 kr.;2022;9500;2022-03-01;El;65.3;514;A;8653
495.000 kr.;2022;8350;2022-03-04;El;65.3;384;A;9000
539.800 kr.;2021;11000;2021-09-17;El;65.3;514;A;9440
599.800 kr.;2022;13000;2022-04-25;El;64.6;534;A;8620
579.800 kr.;2022;9000;2022-04-08;El;64.6;534;A;6670
509.500 kr.;2022;19000;2022-03-01;El;65.3;514;A;8381
