price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
154.900 kr.;2018;147000;2018-02-28;Benzin;21.7;95;A;7700
339.900 kr.;2022;8000;2022-06-03;Benzin;17.5;207;A;4700
209.900 kr.;2018;73000;2018-05-25;Benzin;21.7;95;A;3520
7.900 kr.;2002;280000;2002-10-16;Benzin;15.5;75;M;6000
249.800 kr.;2018;72000;2018-08-15;Benzin;16.9;200;A;6760
199.900 kr.;2019;59000;2018-09-17;Benzin;23.4;95;A;2605
179.900 kr.;2019;43000;2018-09-17;Benzin;23.4;115;M;4000
199.800 kr.;2019;38000;2019-07-01;Benzin;23.4;95;A;3400
124.900 kr.;2015;133000;2015-08-27;Diesel;28.6;90;A;2610
364.900 kr.;2022;9000;2022-04-27;Benzin;17.5;207;A;5200
132.900 kr.;2017;139000;2017-05-03;Benzin;23.3;95;A;3660
230.000 kr.;2021;19000;2021-06-29;Benzin;21.2;110;A;4621
239.900 kr.;2019;62000;2019-03-18;Benzin;21.6;150;A;5200
245.000 kr.;2018;111000;2018-02-27;Benzin;16.9;200;A;4621
154.900 kr.;2016;67000;2015-09-23;Benzin;20.8;150;M;4684
199.900 kr.;2022;18000;2022-01-03;Benzin;21.6;80;M;9440
174.900 kr.;2017;27700;2017-07-17;Benzin;21.3;90;A;4600
219.900 kr.;2021;20000;2021-06-28;Benzin;21.6;95;A;7430
115.990 kr.;2017;95000;2017-03-15;Benzin;23.8;95;M;2880
144.900 kr.;2016;53000;2016-08-11;Benzin;21.3;90;M;6715
108.500 kr.;2016;93000;2015-10-27;Benzin;24.4;95;M;4700
145.900 kr.;2018;76500;2018-05-03;Benzin;20.8;75;M;6430
164.900 kr.;2017;83000;2017-03-02;Benzin;20.8;150;M;7361
94.900 kr.;2014;148000;2014-04-10;Benzin;19.6;90;M;6100
184.900 kr.;2021;13000;2021-07-29;Benzin;21.6;80;M;6200
269.900 kr.;2022;9000;2022-06-15;Benzin;21.6;95;A;6000
219.800 kr.;2020;11000;2019-09-19;Benzin;22.9;115;A;3400
224.900 kr.;2019;27000;2020-04-14;Benzin;22.9;115;A;7160
249.900 kr.;2019;27000;2019-05-15;Benzin;18;200;A;7620
269.900 kr.;2022;26000;2021-10-19;Benzin;20.9;110;A;6400
344.900 kr.;2022;5000;2022-04-26;Benzin;17.5;207;A;4930
199.900 kr.;2022;16000;2022-01-03;Benzin;21.6;80;M;9440
299.900 kr.;2019;49000;2019-02-24;Benzin;17.7;200;A;8600
119.900 kr.;2013;130000;2013-01-16;Benzin;18.9;90;A;8653
169.900 kr.;2019;108000;2019-04-08;Diesel;29.7;95;M;6800
194.900 kr.;2019;78000;2018-12-04;Benzin;22.9;115;A;4600
214.900 kr.;2019;18000;2018-12-13;Benzin;22.9;115;A;7160
152.500 kr.;2016;96000;2015-08-27;Diesel;28.6;90;A;8520
199.900 kr.;2019;53000;2019-07-19;Benzin;22.9;115;A;4600
139.900 kr.;2017;69000;2017-07-04;Benzin;21.3;90;M;4700
134.900 kr.;2016;52000;2016-03-22;Benzin;24.4;95;M;8260
105.900 kr.;2015;169000;2014-10-06;Benzin;21.3;60;M;9440
27.900 kr.;2008;261000;2008-11-05;Diesel;22.2;80;M;7000
129.900 kr.;2015;70000;2015-04-23;Benzin;20.8;110;M;2630
230.000 kr.;2020;58000;2019-12-19;Benzin;18;200;A;2610
115.900 kr.;2015;105000;2014-09-04;Benzin;21.3;90;M;7160
84.900 kr.;2012;85000;2011-09-23;Benzin;18.2;70;M;5750
204.900 kr.;2019;45900;2019-07-07;Benzin;22.9;115;A;4600
239.800 kr.;2022;9800;2022-03-22;Benzin;22;95;A;9620
74.900 kr.;2009;151000;2009-11-24;Diesel;23.8;105;M;7000
354.900 kr.;2022;3000;2022-08-30;Benzin;17.5;207;A;6400
204.900 kr.;2019;56500;2019-07-02;Benzin;22.9;115;A;4600
139.800 kr.;2016;73000;2016-01-27;Benzin;20.8;110;M;4200
169.900 kr.;2019;47000;2019-04-26;Benzin;23.9;95;M;7160
199.900 kr.;2019;66000;2019-06-03;Diesel;28.2;95;A;4600
99.900 kr.;2017;169000;2017-02-27;Benzin;23.8;95;M;6000
174.900 kr.;2020;65000;2020-01-16;Benzin;23.9;95;M;7160
149.900 kr.;2018;67000;2018-04-24;Benzin;20.8;75;M;9400
189.900 kr.;2018;53000;2018-05-09;Benzin;21.3;115;A;4200
260.000 kr.;2020;30000;2020-02-04;Benzin;18;200;A;2610
159.900 kr.;2018;56000;2018-09-17;Benzin;22.7;95;M;2200
179.900 kr.;2019;54000;2019-04-29;Benzin;23.4;115;M;7160
144.900 kr.;2016;81000;2016-12-15;Benzin;23.8;95;A;2500
249.500 kr.;2022;12000;2021-08-23;Benzin;21.6;110;A;7500
208.600 kr.;2021;19000;2020-11-05;Benzin;23.4;95;A;4700
259.900 kr.;2019;39000;2019-04-30;Benzin;21.6;150;A;5200
69.700 kr.;2010;198000;2010-12-21;Diesel;23.3;90;A;3520
229.900 kr.;2022;8000;2022-03-25;Benzin;23.3;95;M;8700
179.990 kr.;2020;77000;2020-01-20;Benzin;22.9;95;A;2850
184.900 kr.;2021;15000;2021-10-08;Benzin;21.6;80;M;6200
250.000 kr.;2018;103000;2018-04-30;Benzin;16.9;200;A;4621
164.900 kr.;2018;89000;2018-03-01;Benzin;22.7;95;M;5200
239.800 kr.;2022;7000;2022-03-10;Benzin;22;95;A;7400
2.795 kr.;2012;135000;2012-01-01;Diesel;29.4;75;M;8620
209.800 kr.;2019;45000;2018-11-13;Benzin;23.4;95;A;2625
209.800 kr.;2019;65000;2018-09-28;Benzin;23.4;95;A;2625
144.900 kr.;2018;89700;2018-01-15;Benzin;22.7;95;M;2860
256.900 kr.;2018;59000;2018-07-13;Benzin;16.9;200;A;8600
224.800 kr.;2022;9000;2022-03-10;Benzin;23.3;95;M;7400
