price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
99.000 kr.;2017;39000;2016-09-14;Benzin;24.4;60;M;3650
79.900 kr.;2016;115000;2016-04-27;Benzin;24.4;60;M;2880
64.800 kr.;2015;148000;2014-07-24;Benzin;24.4;60;M;3400
82.900 kr.;2017;111000;2016-12-14;Benzin;24.4;60;M;8300
94.800 kr.;2017;138000;2017-03-06;Benzin;22.7;90;M;6760
84.500 kr.;2017;123000;2016-09-06;Benzin;24.4;60;M;6270
99.900 kr.;2018;64000;2017-10-18;Benzin;24.4;60;M;8960
109.800 kr.;2017;57000;2017-02-10;Benzin;24.4;60;M;4000
89.900 kr.;2017;90000;2016-12-12;Benzin;24.4;60;M;7160
109.500 kr.;2017;103000;2017-04-20;Benzin;22.7;90;M;6600
67.990 kr.;2013;64000;2013-01-18;Benzin;24.4;60;M;2880
69.900 kr.;2014;154000;2014-04-04;Benzin;24.4;60;M;5750
109.900 kr.;2018;90000;2018-07-30;Benzin;22.7;60;M;2635
114.900 kr.;2019;63000;2019-04-25;Benzin;26.2;60;M;7000
89.800 kr.;2013;78000;2013-02-13;Benzin;23.8;75;M;4000
78.900 kr.;2015;72000;2014-08-26;Benzin;24.4;60;M;8520
62.500 kr.;2013;102000;2012-12-05;Benzin;24.4;60;M;8520
64.900 kr.;2013;132000;2012-12-21;Benzin;22.2;60;M;5500
104.900 kr.;2018;124000;2018-04-05;Benzin;22.7;90;M;7323
74.900 kr.;2013;143000;2013-02-15;Benzin;22.2;75;A;7160
147.800 kr.;2020;9000;2020-05-12;Benzin;25;60;M;6000
69.900 kr.;2013;93000;2013-01-02;Benzin;22.2;60;M;2600
72.900 kr.;2017;158000;2017-05-02;Benzin;24.4;60;M;8781
64.800 kr.;2014;75000;2013-10-21;Benzin;24.4;60;M;4000
53.000 kr.;2013;174000;2012-08-24;Benzin;22.2;60;M;6470
114.900 kr.;2017;89000;2016-11-25;Benzin;22.7;90;M;8960
124.900 kr.;2020;33000;2020-03-18;Benzin;25;60;M;7160
89.900 kr.;2018;102000;2018-01-01;Benzin;24.4;60;M;2750
79.800 kr.;2014;60000;2014-05-02;Benzin;24.4;60;M;5210
99.000 kr.;2017;27000;2017-02-14;Benzin;24.4;60;M;8660
57.500 kr.;2014;121500;2014-01-29;Benzin;24.4;60;M;6200
104.900 kr.;2018;44000;2017-12-28;Benzin;24.4;60;M;2605
94.900 kr.;2017;85000;2017-08-17;Benzin;24.4;60;M;4800
104.800 kr.;2017;38000;2016-10-13;Benzin;24.4;60;M;4000
55.000 kr.;2014;142000;2012-09-28;Benzin;24.4;60;M;6000
99.900 kr.;2017;36000;2017-12-11;Benzin;24.4;60;M;7000
99.900 kr.;2018;40000;2017-12-11;Benzin;24.4;60;M;2605
99.900 kr.;2018;62000;2018-08-30;Benzin;22.7;60;M;2605
72.900 kr.;2014;161000;2014-01-07;Benzin;23.8;75;M;8653
69.900 kr.;2014;112000;2014-05-06;Benzin;24.4;60;M;7160
109.800 kr.;2019;37000;2018-11-09;Benzin;23.8;60;M;9620
64.000 kr.;2014;107000;2014-06-26;Benzin;24.4;60;M;3650
59.900 kr.;2013;149000;2012-10-30;Benzin;21.3;75;M;5750
119.800 kr.;2018;13000;2017-11-07;Benzin;24.4;60;M;4681
89.900 kr.;2017;87000;2017-05-29;Benzin;24.4;60;M;2605
134.900 kr.;2020;14000;2019-09-25;Benzin;25;60;M;4720
