"product_name","product_description","brand_name","product_category"
"Caravan rear-view mirror, split","Universal model with double mirror, the outer mirror is adjustable and increases the viewing area to the rear. Easy fitting, with neoprene straps, for both right and left-hand sides. Dimensions for the entire mirror construction: 185 x 127 mm. Sold individually.","Dayco","Accessories"
"Stick-on mirror","For simple repair of broken and cracked side vehicle mirrors. Suitable for both cars and trucks. DIY kit containing one sheet of plastic mirror glass and double-sided adhesive tape. Vehicle mirrors are delivered with a layer of protective plastic to prevent scratches. Easy cutting, no special tools required. Not approved by Svensk Bilprovning (Swedish Vehicle Inspection Agency).","Schaeffler","Accessories"
"Rear-view mirror, 180 x 55 mm","Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.","BorgWarner","Accessories"
"Rear-view mirror, 110 x 45 mm","Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.","Bilstein","Accessories"
"Wide-angle mirror","For mounting to existing side mirrors. Provides a better view when e.g. overtaking and parking. Fittings included.","TRW Automotive","Accessories"
"Car make-up mirror","Self-adhesive mirror for fitting to e.g. sun visors.","ATE","Accessories"
"Rear-view mirror, 80 x 50 mm","Small, flexible extra mirror for a greater rear field of view. Supplied with two fasteners, suction cup and clip.","Delphi Technologies","Accessories"
"Wide-angle mirror","To see the blind spot. Mounted to the outer/interior rear-view mirror. Self-adhesive.","Ruville","Accessories"
"Fuel Can, 20 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.","Behr Hella Service","Accessories"
"Fuel Can, 10 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.","Ferodo","Accessories"
"Jerry Can, 20 l","Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.","Behr Hella Service","Accessories"
"Fuel Can, 5 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.","Febi Bilstein","Accessories"
"Jerry can, 20 l","Classic army style jerrycan made of plastic. Can be used for petrol and diesel. Flexible spout included.","Magna International","Accessories"
