Name,Description,Price,Img,Category
"Driveway mirror, 310 mm","A convex mirror which improves visibility and thereby increases safety for garage driveways, parking areas, street corners, etc. Easy to mount with the included adjustable bracket.",199,https://productimages.biltema.com/v1/image/imagebyfilename/38-781_xl_1.jpg,Car Accessories
"Caravan rear-view mirror, split","Universal model with double mirror, the outer mirror is adjustable and increases the viewing area to the rear. Easy fitting, with neoprene straps, for both right and left-hand sides. Dimensions for the entire mirror construction: 185 x 127 mm. Sold individually.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/37-573_xl_1.jpg,Car Accessories
Stick-on mirror,"For simple repair of broken and cracked side vehicle mirrors. Suitable for both cars and trucks. DIY kit containing one sheet of plastic mirror glass and double-sided adhesive tape. Vehicle mirrors are delivered with a layer of protective plastic to prevent scratches. Easy cutting, no special tools required. Not approved by Svensk Bilprovning (Swedish Vehicle Inspection Agency).",49.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-710_xl_1.jpg,Car Accessories
"Rear-view mirror, 180 x 55 mm",Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.,29.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-112_xl_1.jpg,Car Accessories
"Rear-view mirror, 110 x 45 mm",Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.,24.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-112_xl_1.jpg,Car Accessories
Wide-angle mirror,For mounting to existing side mirrors. Provides a better view when e.g. overtaking and parking. Fittings included.,36.90,https://productimages.biltema.com/v1/Image/product/xlarge/2000034853/4,Car Accessories
Car make-up mirror,Self-adhesive mirror for fitting to e.g. sun visors.,22.90,https://productimages.biltema.com/v1/Image/product/xlarge/2000034942/4,Car Accessories
"Rear-view mirror, 80 x 50 mm","Small, flexible extra mirror for a greater rear field of view. Supplied with two fasteners, suction cup and clip.",42.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-115_xl_1.jpg,Car Accessories
Wide-angle mirror,"To see the ""blind spot"". Mounted to the outer/interior rear-view mirror. Self-adhesive.",22.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-123_xl_1.jpg,Car Accessories
"Fuel Can, 20 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.",129,https://productimages.biltema.com/v1/image/imagebyfilename/39-253_xl_1.jpg,Car Accessories
"Fuel Can, 10 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.",54.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-256_xl_1.jpg,Car Accessories
"Jerry Can, 20 l","Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.",199,https://productimages.biltema.com/v1/image/imagebyfilename/39-103_xl_1.jpg,Car Accessories
"Fuel Can, 5 l","Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.",34.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-255_xl_1.jpg,Car Accessories
"Jerry can, 20 l",Classic army style jerrycan made of plastic. Can be used for petrol and diesel. Flexible spout included.,149,https://productimages.biltema.com/v1/image/imagebyfilename/39-267_xl_1.jpg,Car Accessories
"Diesel tank, transportable, 200 l","Strong diesel tank that safely and cleanly handles and stores diesel for agricultural machinery, forestry machinery and construction machinery. With a moulded splash plate and fork bushings for forklift handling, the container is both practical and simple to move. The tank can be used both indoors or outdoors and the pump connects to a 12 V vehicle battery with crocodile clips.Equipment:Self-priming wing pump and pump handle with automatic shut-off.Lockable lid (padlock not included).Hose with pressed swivel connectors and filter strainer inside the tank.Fuel gauge that shows the current level in the tankNOTE! For diesel only!",5499,https://productimages.biltema.com/v1/image/imagebyfilename/82-968_xl_1.jpg,Car Accessories
"Petrol Can, ethanol, 5 l",Strong and practical plastic petrol can. Intended for or ethanol (E85). With carry handle and flexible extension pipe.,59.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-265_xl_1.jpg,Car Accessories
"Jerry Can, 10 l","Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.",139,https://productimages.biltema.com/v1/image/imagebyfilename/39-102_xl_1.jpg,Car Accessories
Refill Nozzle,"Sheet steel refill nozzle with flexible rubber spout. For jerry cans. With rubber gaskets to prevent leakage. Fits items 39-102, 39-103.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-104_xl_1.jpg,Car Accessories
