Make,Model,Price,ModelYear,FuelType,Reg,Kilometers,GearType,HorsePower
VW,ID.5,299900,2023,El,2023,9200,A,174
VW,e-Golf VII,149900,2018,El,2018,74000,A,136
VW,ID.Buzz,414900,2023,El,2023,5000,A,204
VW,ID.3,208900,2021,El,2020,49990,A,204
VW,e-Up!,119400,2021,El,2021,8000,A,82
VW,ID.5,319500,2023,El,2023,8000,A,204
VW,ID.4,299500,2023,El,2023,5000,A,204
VW,e-Golf VII,154800,2021,El,2020,13000,A,136
VW,ID.3,229800,2021,El,2021,36000,A,204
VW,ID.3,259900,2023,El,2022,9900,A,204
VW,ID.3,199900,2021,El,2020,59900,A,204
VW,ID.4,317000,2023,El,2022,36000,A,204
VW,ID.3,269900,2023,El,2022,25000,A,204
VW,ID.4,399900,2023,El,2023,21000,A,299
VW,ID.3,278900,2023,El,2023,7100,A,204
VW,e-Golf VII,164900,2017,El,2017,57000,A,136
VW,e-Up!,74900,2015,El,2014,97000,A,82
VW,ID.5,329900,2023,El,2023,14000,A,204
VW,e-Up!,144900,2021,El,2021,21000,A,83
VW,ID.Buzz,399800,2024,El,2024,0,A,204
VW,e-Golf VII,144900,2020,El,2020,34000,A,136
VW,ID.4,289900,2023,El,2023,8000,A,174
VW,ID.4,279900,2022,El,2022,44000,A,204
VW,e-Up!,129900,2022,El,2021,25400,A,83
VW,ID.4,359900,2023,El,2022,17000,A,204
VW,ID.4,319900,2021,El,2021,22000,A,204
VW,ID.Buzz,409900,2023,El,2023,8000,A,204
VW,e-Up!,124900,2021,El,2021,33000,A,83
VW,e-Golf VII,159900,2020,El,2020,24576,A,136
VW,ID.4,298900,2023,El,2023,13000,A,204
VW,ID.3,264900,2023,El,2023,9000,A,204
VW,ID.4,284900,2021,El,2021,24000,A,204
VW,ID.3,219900,2020,El,2020,37500,A,204
VW,e-Up!,114900,2020,El,2020,52000,A,83
VW,e-Up!,134900,2022,El,2021,19000,A,83
VW,e-Up!,127999,2021,El,2021,24000,A,83
VW,ID.5,334900,2022,El,2022,34000,A,204
VW,ID.4,314900,2021,El,2021,79130,A,299
VW,ID.3,179900,2022,El,2021,26400,A,150
VW,ID.4,239000,2022,El,2022,20000,A,148
VW,ID.4,349700,2021,El,2021,24000,A,299
VW,ID.4,359900,2023,El,2023,100,A,299
VW,ID.4,294900,2021,El,2021,63000,A,204
VW,ID.4,359900,2024,El,2023,100,A,340
VW,ID.4,229800,2022,El,2023,24000,A,148
VW,ID.4,314900,2023,El,2023,11300,A,204
VW,ID.3,220000,2022,El,2022,30000,A,204
VW,e-Up!,134900,2021,El,2021,31000,A,83
VW,e-Up!,134900,2021,El,2021,16000,A,83
