name;description;price;img_url;category_id;id;create_timestamp;brand_id
Driveway mirror, 310 mm;A convex mirror which improves visibility and thereby increases safety for garage driveways, parking areas, street corners, etc. Easy to mount with the included adjustable bracket.;199.0;https://productimages.biltema.com/v1/image/imagebyfilename/38-781_xl_1.jpg;1;1;2023-05-15 15:12:27;18
Caravan rear-view mirror, split;Universal model with double mirror, the outer mirror is adjustable and increases the viewing area to the rear. Easy fitting, with neoprene straps, for both right and left-hand sides. Dimensions for the entire mirror construction: 185 x 127 mm. Sold individually.;69.9;https://productimages.biltema.com/v1/image/imagebyfilename/37-573_xl_1.jpg;1;2;2023-05-15 15:12:27;29
Stick-on mirror;For simple repair of broken and cracked side vehicle mirrors. Suitable for both cars and trucks. DIY kit containing one sheet of plastic mirror glass and double-sided adhesive tape. Vehicle mirrors are delivered with a layer of protective plastic to prevent scratches. Easy cutting, no special tools required. Not approved by Svensk Bilprovning (Swedish Vehicle Inspection Agency).;49.9;https://productimages.biltema.com/v1/image/imagebyfilename/33-710_xl_1.jpg;1;3;2023-05-15 15:12:27;14
Rear-view mirror, 180 x 55 mm;Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.;29.9;https://productimages.biltema.com/v1/image/imagebyfilename/33-112_xl_1.jpg;1;4;2023-05-15 15:12:27;16
Rear-view mirror, 110 x 45 mm;Rotatable mirror for attaching to the interior windscreen. Suitable as an extra mirror when e.g. practising to drive.;24.9;https://productimages.biltema.com/v1/image/imagebyfilename/33-112_xl_1.jpg;1;5;2023-05-15 15:12:27;24
Wide-angle mirror;For mounting to existing side mirrors. Provides a better view when e.g. overtaking and parking. Fittings included.;36.9;https://productimages.biltema.com/v1/Image/product/xlarge/2000034853/4;1;6;2023-05-15 15:12:27;8
Car make-up mirror;Self-adhesive mirror for fitting to e.g. sun visors.;22.9;https://productimages.biltema.com/v1/Image/product/xlarge/2000034942/4;1;7;2023-05-15 15:12:27;39
Rear-view mirror, 80 x 50 mm;Small, flexible extra mirror for a greater rear field of view. Supplied with two fasteners, suction cup and clip.;42.9;https://productimages.biltema.com/v1/image/imagebyfilename/33-115_xl_1.jpg;1;8;2023-05-15 15:12:27;9
Wide-angle mirror;"To see the ""blind spot"". Mounted to the outer/interior rear-view mirror. Self-adhesive.";22.9;https://productimages.biltema.com/v1/image/imagebyfilename/33-123_xl_1.jpg;1;9;2023-05-15 15:12:27;30
Fuel Can, 20 l;Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.;129.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-253_xl_1.jpg;1;10;2023-05-15 15:12:27;31
Fuel Can, 10 l;Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.;54.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-256_xl_1.jpg;1;11;2023-05-15 15:12:27;26
Jerry Can, 20 l;Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.;199.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-103_xl_1.jpg;1;12;2023-05-15 15:12:27;31
Fuel Can, 5 l;Plastic. Equipped with a carry handle and flexible extension pipe for simple, no-spill filling.;34.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-255_xl_1.jpg;1;13;2023-05-15 15:12:27;28
Jerry can, 20 l;Classic army style jerrycan made of plastic. Can be used for petrol and diesel. Flexible spout included.;149.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-267_xl_1.jpg;1;14;2023-05-15 15:12:27;36
Diesel tank, transportable, 200 l;Strong diesel tank that safely and cleanly handles and stores diesel for agricultural machinery, forestry machinery and construction machinery. With a moulded splash plate and fork bushings for forklift handling, the container is both practical and simple to move. The tank can be used both indoors or outdoors and the pump connects to a 12 V vehicle battery with crocodile clips.Equipment:Self-priming wing pump and pump handle with automatic shut-off.Lockable lid (padlock not included).Hose with pressed swivel connectors and filter strainer inside the tank.Fuel gauge that shows the current level in the tankNOTE! For diesel only!;5499.0;https://productimages.biltema.com/v1/image/imagebyfilename/82-968_xl_1.jpg;1;15;2023-05-15 15:12:27;20
Petrol Can, ethanol, 5 l;Strong and practical plastic petrol can. Intended for or ethanol (E85). With carry handle and flexible extension pipe.;59.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-265_xl_1.jpg;1;16;2023-05-15 15:12:27;6
Jerry Can, 10 l;Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.;139.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-102_xl_1.jpg;1;17;2023-05-15 15:12:27;31
Refill Nozzle;Sheet steel refill nozzle with flexible rubber spout. For jerry cans. With rubber gaskets to prevent leakage. Fits items 39-102, 39-103.;69.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-104_xl_1.jpg;1;18;2023-05-15 15:12:27;40
Flat Fuel Can, 10 l;Flat petrol can in red-painted sheet metal. Stands stably thanks to the flat design and low centre of mass.  Plastic spout (30 cm) included. Air hole for faster emptying. Suitable for petrol, diesel, ethanol and oil. UN-certified.;159.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-110_xl_1.jpg;1;19;2023-05-15 15:12:27;26
Jerry Can Pump;Pump for convenient, spill-free fuel refilling from heavy fuel cans. Hose length: 1000/460 mm. Fits Biltema's jerry cans 39-102 and 39-103.;109.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-105_xl_1.jpg;1;20;2023-05-15 15:12:27;16
Jerry can gasket;Gasket suitable for Jerry Can 39-102 and 39-103.;14.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-164_xl_1.jpg;1;21;2023-05-15 15:12:27;32
Full Cover, 406 x 165 x 120 cm;Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.;349.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg;1;22;2023-05-15 15:12:27;40
Full Cover, 535 x 178 x 120 cm;Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.;349.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg;1;23;2023-05-15 15:12:27;20
Sun and Snow Shield, 82 x 168 cm;A padded protection for the windscreen which effectively reflects and insulates against sun and heat in the summer and prevents ice accumulation in the winter. Stored rolled up. Place the protection on the front windscreen with the foil side outwards. Open the door and fix the protection between the door and door post.;29.9;https://productimages.biltema.com/v1/image/imagebyfilename/39-502_xl_1.jpg;1;24;2023-05-15 15:12:27;15
Full Cover, 485 x 178 x 120 cm;Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.;349.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg;1;25;2023-05-15 15:12:27;36
Full cover, indoors, 485 x 178 x 120 cm;Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.;199.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg;1;26;2023-05-15 15:12:27;13
Full Cover, 485 x 178 x 124 cm;Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.;369.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg;1;27;2023-05-15 15:12:27;25
Full Cover, 435 x 165 x 120 cm;Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.;349.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg;1;28;2023-05-15 15:12:27;21
Full cover, indoors, 406 x 165 x 120 cm;Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.;199.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg;1;29;2023-05-15 15:12:27;12
Full cover, indoors, 535 x 178 x 120 cm;Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.;239.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg;1;30;2023-05-15 15:12:27;12
Full cover, indoors, 435 x 165 x 120 cm;Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.;199.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg;1;31;2023-05-15 15:12:27;39
Full cover, indoors, 485 x 178 x 124 cm;Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.;239.0;https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg;1;32;2023-05-15 15:12:27;26
Car Top Cover, polyester, 295 x 180 x 45 cm;Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.;169.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg;1;33;2023-05-15 15:12:27;36
Car Top Cover, polyester, 240 x 190 x 45 cm;Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.;169.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg;1;34;2023-05-15 15:12:27;11
Car Top Cover, polyester, 270 x 180 x 45 cm;Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.;169.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg;1;35;2023-05-15 15:12:27;10
Car Top Cover, polyester, 255 x 190 x 45 cm;Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.;169.0;https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg;1;36;2023-05-15 15:12:27;23
Tyre Valves TR414, 50-pack;Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.;135.0;https://productimages.biltema.com/v1/image/imagebyfilename/33-980_xl_1.jpg;1;37;2023-05-15 15:12:27;37
Tyre Valves TR412, 50-pack;Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.;145.0;https://productimages.biltema.com/v1/image/imagebyfilename/33-084_xl_1.jpg;1;38;2023-05-15 15:12:27;6
